Sample_ID,Landcover,Hill_side,Lat_ID,Long_ID,SOC_Perc,TN(%),AP(mg_kg),CN_Ratio,CAP_Ratio,Air_T,Air_humidity,Soil_T,Soil_h,Soil_pH,Average_densiometer_per_landcovertype,Elevation,Tree_species,Tree_n_per_plot,Stems per ha,Cumulative_Basal_Area_Hectare,Average_DBH,Cumulative_AGB_Plot_Ha,Average_Height_Plot,Native,Exotic,Fungi_ASV_number,Bacteria_ASV_number,k__Fungi|p__Ascomycota,k__Fungi|p__Basidiomycota,k__Fungi|p__,k__Fungi|p__Rozellomycota,k__Fungi|p__Glomeromycota,k__Fungi|p__Mucoromycota,k__Fungi|p__Mortierellomycota,k__Fungi|p__Chytridiomycota,k__Fungi|p__Kickxellomycota,k__Fungi|p__Calcarisporiellomycota,k__Fungi|p__Blastocladiomycota,k__Fungi|p__Zoopagomycota,k__Fungi|p__Aphelidiomycota,k__Bacteria|p__Acidobacteriota,k__Bacteria|p__Pseudomonadota,k__Bacteria|p__Verrucomicrobiota,k__Bacteria|p__Planctomycetota,k__Bacteria|p__Actinomycetota,k__Bacteria|p__Chloroflexota,k__Bacteria|p__Myxococcota,k__Bacteria|p__Bacteroidota,k__Bacteria|p__Bacillota,k__Bacteria|p__Gemmatimonadota,k__Bacteria|p__Thermodesulfobacteriota,k__Bacteria|p__Candidatus Eremiobacterota,k__Bacteria|p__Methylomirabilota,k__Bacteria|p__Cyanobacteriota,k__Bacteria|p__RCP2-54,k__Bacteria|p__Dependentiae,k__Bacteria|p__Patescibacteria,k__Bacteria|p__,k__Bacteria|p__Bdellovibrionota,k__Bacteria|p__Latescibacterota,k__Bacteria|p__Chlamydiota,k__Bacteria|p__Nitrospirota,k__Bacteria|p__Elusimicrobiota,k__Bacteria|p__Armatimonadota,k__Bacteria|p__MBNT15,k__Bacteria|p__NB1-j,k__Bacteria|p__Entotheonellaeota,k__Bacteria|p__GAL15,k__Bacteria|p__FCPU426,k__Bacteria|p__Candidatus Kapabacteria,k__Bacteria|p__SAR324 clade(Marine group B),k__Bacteria|p__Nitrospinota,k__Bacteria|p__Sumerlaeota,k__Bacteria|p__Fibrobacterota,k__Bacteria|p__Candidatus Kryptonia,k__Bacteria|p__Spirochaetota,k__Bacteria|p__Abditibacteriota,k__Bacteria|p__WS2,k__Bacteria|p__Hydrogenedentes,k__Bacteria|p__Margulisbacteria,k__Bacteria|p__WS4,k__Bacteria|p__Calditrichota,k__Bacteria|p__Marinimicrobia (SAR406 clade),k__Bacteria|p__Chlorobiota,k__Bacteria|p__Dadabacteria,k__Bacteria|p__Deferrisomatota,k__Bacteria|p__Zixibacteria,k__Bacteria|p__Cloacimonadota,k__Bacteria|p__Rs-K70 termite group,k__Bacteria|p__Deinococcota,k__Bacteria|p__Synergistota,Pathotroph,Saprotroph,Symbiotroph,Bryophyte Parasite,Dung Saprotroph,Ectomycorrhizal,Fungal Parasite,Leaf Saprotroph,Plant Parasite,Wood Saprotroph,Animal Pathogen,Endophyte,Plant Pathogen,Lichen Parasite,Litter Saprotroph,Soil Saprotroph,Plant Saprotroph,Epiphyte,Lichenized,Arbuscular Mycorrhizal,Endomycorrhizal,Ericoid Mycorrhizal,Orchid Mycorrhizal,Root Associated Biotroph,Clavicipitaceous Endophyte,Animal Endosymbiont,methanotrophy,methanol_oxidation,methylotrophy,aerobic_ammonia_oxidation,aerobic_nitrite_oxidation,nitrification,sulfate_respiration,sulfur_respiration,respiration_of_sulfur_compounds,anammox,nitrate_denitrification,nitrite_denitrification,denitrification,chitinolysis,dark_hydrogen_oxidation,nitrogen_fixation,nitrate_ammonification,nitrite_ammonification,nitrite_respiration,cellulolysis,xylanolysis,dark_sulfide_oxidation,dark_thiosulfate_oxidation,dark_oxidation_of_sulfur_compounds,manganese_oxidation,manganese_respiration,ligninolysis,fermentation,aerobic_chemoheterotrophy,invertebrate_parasites,human_pathogens_septicemia,human_pathogens_pneumonia,human_pathogens_nosocomia,human_pathogens_meningitis,human_pathogens_gastroenteritis,human_pathogens_diarrhea,human_pathogens_all,human_gut,human_associated,mammal_gut,animal_parasites_or_symbionts,oil_bioremediation,aromatic_hydrocarbon_degradation,aromatic_compound_degradation,aliphatic_non_methane_hydrocarbon_degradation,hydrocarbon_degradation,iron_respiration,nitrate_respiration,nitrate_reduction,nitrogen_respiration,fumarate_respiration,intracellular_parasites,chlorate_reducers,predatory_or_exoparasitic,chloroplasts,photosynthetic_cyanobacteria,anoxygenic_photoautotrophy_S_oxidizing,anoxygenic_photoautotrophy,oxygenic_photoautotrophy,photoautotrophy,aerobic_anoxygenic_phototrophy,photoheterotrophy,phototrophy,plastic_degradation,ureolysis,reductive_acetogenesis,chemoheterotrophy,anaerobic_chemoheterotrophy
O2NA,24_R,1,HIDED,HIDED,6.190271749,0.38,5.47,16.29,11316.77,29.8,83.2,26,74,5.466666667,92.2,363,10,47,1100,217059.5715,11.97083333,110.0544024,16.4,40,7,534,3064,0.599766157,0.191992904,0.128815063,0.050800306,0.022376325,0.001773979,0.002540015,0.001854614,8.06E-05,0,0,0,0,0.185468178,0.313759158,0.156078297,0.083218864,0.033367674,0.022235577,0.04389881,0.071485806,0.016826923,0.01614011,0.006953984,0.000372024,0.006209936,0.001430861,0.006124084,0.001602564,0.004492903,0.0043212,0.005952381,0.004807692,0.001516712,0.000228938,0.001430861,0.001058837,0.002833104,0.002232143,0.001087454,2.86E-05,0,0.00071543,0.001087454,0,0.000343407,0.000887134,0.000744048,0.000286172,0.000171703,0.000228938,0.000286172,0,0,0,0,5.72E-05,0,2.86E-05,0,0,0,0,0,13.85,47.52,13.3,0.48,2.15,4.77,6.48,0.11,0.04,8.81,8.3,5.43,5.11,3.56,0.86,7.95,1.01,0.72,0.07,2.24,0.33,0,0.21,0.1,0,0,0.01,0,0.01,0.07,0,0.07,0.7,0,0.7,0,0.17,0.17,0.17,0,5.29,0.05,0.17,0.35,0.35,0.18,0.02,0,0,0,0.01,0,0,1.61,23.13,0.03,0,0,0,0.04,0.16,0.16,0.3,0.18,0.31,0.18,1.68,0.1,0.05,0.63,0.04,0.16,0,0.6,1.52,0.62,0.16,0.28,0,0.05,0.08,0.08,0,0,0.08,0.08,0,0,0.08,0.02,0.18,0.01,33.26,10.13
O2NB,24_R,1,HIDED,HIDED,6.617827817,0.501,5.92,13.21,11178.76,29.1,83.4,25.66666667,74.66666667,6.233333333,92.2,363,10,47,1100,217059.5715,11.97083333,110.0544024,16.4,40,7,198,NA,0.507962746,0.442083619,0.019271862,0.002781922,0.022255372,0.000725719,0.002701286,0.002217474,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.2,52.85,25.72,11.79,12.23,16.74,20.48,11.79,11.79,15.92,3.87,1.65,1.6,0.1,0.27,5.32,0,0.41,4.6,2.23,0.22,0,0,0,0,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O2NC,24_R,1,HIDED,HIDED,6.81942152,0.501,10.17,13.61,6705.43,28.9,83,26.33333333,70.33333333,5.633333333,92.2,360,10,47,1100,217059.5715,11.97083333,110.0544024,16.4,40,7,479,2040,0.548441721,0.393702375,0.03511672,0.000322542,0.014070879,0.003225416,0.004152723,0.000725719,0.000241906,0,0,0,0,0.209550514,0.257789477,0.239306458,0.097221825,0.04875397,0.017395783,0.039026065,0.032903207,0.001888358,0.009613459,0.008497611,0.000343338,0.012417384,0.002060027,0.002603645,0.001173071,0.004177277,0.001630855,0.003576436,0.00097279,0.000257503,0.000743899,0.000915568,0.00097279,0.003490601,0.001030013,0.000600841,0,0,0.000257503,0.000429172,0,0.000314726,2.86E-05,5.72E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.58,60.98,17.33,1.4,3.02,8.45,29.28,2.29,1.27,10.32,22.96,4.52,3.41,0.41,1.85,6.53,0.94,0.45,0.72,1.41,0,0,1.74,0,0.07,0.02,0.04,0.03,0.07,0,0,0,0.85,0,0.85,0.01,0,0,0,0.01,7.37,0.04,0,0,0.01,0.2,0.04,0,0,0,0.03,0,0,0.35,20.9,0.03,0,0,0,0,0,0,0.13,0,0.13,0,0.94,0.05,0,0.06,0,0.04,0,0.11,1.07,0.11,0,0.23,0,0.16,0.06,0.06,0,0,0.06,0.06,0,0,0.06,0,0.13,0,27.13,6.23
O2ND,24_R,1,HIDED,HIDED,5.631173048,0.341,8.06,16.51,6986.57,28.6,82.1,26.33333333,72.66666667,5.333333333,92.2,360,10,47,1100,217059.5715,11.97083333,110.0544024,16.4,40,7,233,1814,0.580292707,0.252590412,0.120066121,0.014715962,0.013062936,0.004999395,0.008345765,0.002902875,0.003023828,0,0,0,0,0.299144566,0.289789145,0.133693817,0.08059394,0.063656911,0.052870998,0.011815867,0.005893629,0.00191686,0.006437216,0.008296856,0.009956227,0.006523045,0.003547621,0.003519011,0.002632106,0.001745201,0.003089864,0.00185964,0.001659371,0.002145739,0.001173004,0.00183103,0.001144394,0.001344663,0.000572197,0.000286098,0.002145739,8.58E-05,0.000114439,0,0,8.58E-05,0,0,8.58E-05,0.000343318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.36,50.68,13.98,0,10.93,0.77,11.61,0,0,12.7,11.39,9.21,9.54,4.74,0.9,3.41,0.69,0.53,0.4,1.31,0.19,0.17,0.16,0,0,0,0.04,0,0.04,0,0,0,0.83,0,0.83,0,0,0,0,0,11.03,0.04,0,0,0,1.94,0.13,0,0,0,0,0,0,0.12,24.93,0,0,0.05,0,0,0,0,0.29,0,0.29,0,1.78,0,0,0,0,0.04,0.15,0.05,0.78,0.05,0,0.41,0,0.05,0.17,0.18,0,0,0.18,0.18,0,0,0.18,0,0.09,0,29.21,4.28
O3SA,24_R,0,HIDED,HIDED,6.230157101,0.383,11.26,16.27,5533,28.8,72.7,27.33333333,39,6.266666667,92.2,270,13,43,2300,168572.4239,10.31395349,157.0468503,13.33333333,20,23,96,1355,0.282465831,0.674273273,0.024271258,0.012175946,0,0.006249244,0,0,0.000564448,0,0,0,0,0.204457032,0.294112599,0.125786703,0.071890376,0.118205744,0.079185261,0.015934317,0.004920471,0.033270397,0.007752603,0.007981462,0.005235153,0.006665522,0.001659229,0.003461494,0.002717702,0.000400503,0.001687836,0.002145554,0.000715185,0.004977686,0.003518709,0.000801007,8.58E-05,0.000629363,0,0.000572148,0.001001259,0.000200252,0,2.86E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.29,75.87,19.3,3.95,6.79,13.37,8.58,3.95,3.95,15.2,3.04,3.86,2.44,0,0,2.49,3.2,0.43,0,0,0,0,1.38,0,0,0.26,0,0,0,0,0,0,0.8,0,0.8,0,0,0,0,0,12.77,0.04,0,0,0,3.4,0.18,0,0,0,0,0,0,0.12,30.78,0.65,0,0.02,0,0,0,0,0.96,0,0.96,0,3.37,0,0,0.05,0,0,0.07,0,1.1,0,0,1.03,0,0.24,0.06,0.06,0,0,0.06,0.06,0,0.03,0.09,0,0.21,0,35.2,4.43
O3SB,24_R,0,HIDED,HIDED,5.928751579,0.365,14.72,16.24,4027.68,29,72.3,26.66666667,45,6.266666667,92.2,270,13,43,2300,168572.4239,10.31395349,157.0468503,13.33333333,20,23,38,903,0.415675523,0.189735113,0.383542313,0,0,0,0,0,0.011047051,0,0,0,0,0.278121066,0.267050006,0.16037304,0.065825609,0.087452798,0.043540451,0.012043712,0.001172903,0.010727772,0.007781211,0.013359652,0.02577526,0.001544799,0.006121982,0.006322234,0.00143037,0.000314681,0.000743792,0.000200252,0,0.002860739,0.002975169,0.000314681,0,8.58E-05,0,0,0.003861998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.92,18.27,27.39,0.81,2.43,12.15,11.01,0.81,0.81,7.43,5.63,8.68,4.56,0,0,2.72,2.44,0,0,0,0,6.56,0,0,0,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,0,0,11.38,0,0,0,0,1.97,0.06,0,0,0,0,0,0,0.11,27.27,0.17,0,0,0,0,0,0,0.31,0,0.31,0,3.54,0,0,0,0,0,0.77,0,0.55,0,0,0.57,0,0.29,0.55,0.55,0,0,0.55,0.55,0,0,0.55,0,0.13,0,32.1,4.83
O3SC,24_R,0,HIDED,HIDED,5.997954649,0.377,7.62,15.91,7871.33,28.2,74.9,26.33333333,73,5.366666667,92.2,270,13,43,2300,168572.4239,10.31395349,157.0468503,13.33333333,20,23,106,1323,0.44030964,0.406644358,0.087892594,0.009434343,0,0.04547837,0.007337822,0.002902875,0,0,0,0,0,0.249864095,0.325283969,0.120339904,0.05974078,0.082773025,0.057995479,0.014477411,0.002489199,0.018483019,0.007982604,0.009012618,0.014935195,0.005836743,0.002231696,0.006180081,0.001745301,0.000486395,0.004377557,0.001974192,0.000600841,0.003519213,0.004148665,0.001287517,0.000629453,0.001144459,0.000715287,0.000371949,0.001173071,0.000171669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86E-05,0,20.2,69.41,23.44,3.13,7.48,8.2,11.3,2.59,2.59,24.12,7.67,14,10.15,2.87,1.25,3.06,2.32,0.69,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.9,0,0,0,0,0,12.56,0.07,0,0,0,2.91,0.19,0,0,0,0,0,0,0.03,30.99,0.23,0,0,0,0,0,0,0.62,0,0.62,0,2.96,0,0.05,0.05,0,0.05,0.4,0.01,0.7,0.01,0,0.93,0,0.09,0.16,0.16,0,0,0.16,0.16,0,0,0.16,0.05,0.12,0,34.77,3.77
O3SD,24_R,0,HIDED,HIDED,5.922138723,0.391,7.39,15.15,8013.72,29.2,74,26.66666667,75.33333333,5.3,92.2,273,13,43,2300,168572.4239,10.31395349,157.0468503,13.33333333,20,23,317,1707,0.402290046,0.488892473,0.077974439,0.019473451,0.006249244,0.001814297,0.000282224,0.002580333,0.000443495,0,0,0,0,0.228143952,0.287332647,0.17047145,0.106934432,0.057415036,0.036760499,0.025689438,0.013102186,0.003919213,0.011643209,0.012072319,0.006322234,0.010069802,0.005149331,0.004548575,0.000829614,0.002002517,0.002546058,0.001573407,0.004462753,0.001001259,0.001687836,0.000600755,0.000429111,0.000801007,0.002774917,0.000514933,0.000801007,0,0.00011443,0.00011443,0,0.000171644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.15,57.52,20.57,0.85,3.3,1.64,5.95,0.56,0.49,20.79,9.45,6.08,2.66,0.59,0.5,5.02,6.1,0.06,10.66,0.62,0.39,0,1,0,0.12,0,0.01,0,0.01,0,0,0,1.21,0,1.21,0.01,0,0,0,0,9.18,0.02,0,0,0.01,0.63,0.06,0,0,0,0,0,0,0.25,24.42,0.08,0,0,0,0,0,0,0.22,0,0.22,0,1.68,0,0,0.05,0,0.01,0.17,0.01,1.04,0.02,0,0.18,0,0.38,0.25,0.25,0,0,0.25,0.25,0,0,0.25,0,0.23,0,31.2,6.78
O4NA,24_R,1,HIDED,HIDED,6.748069687,0.463,9.66,14.57,6985.58,31.1,72.1,29,54.66666667,5.533333333,92.2,266,10,29,1000,217259.874,14.7862069,104.0469174,11.77142857,24,5,287,NA,0.41309519,0.403539894,0.145909769,0.019594404,0.008708624,0.004515583,0.002056203,0.002298109,0.000282224,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.27,48.75,20.09,1.37,4.19,2.33,2.74,1.37,1.37,7.03,3.47,5,3.62,0.83,0.51,14.78,0.56,0.28,9.12,0.87,0,0,2.87,0,0.07,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O4NB,24_R,1,HIDED,HIDED,6.331842158,0.427,9.49,14.83,6672.12,31.6,69.4,28.33333333,79.33333333,5.033333333,92.2,271,10,29,1000,217259.874,14.7862069,104.0469174,11.77142857,24,5,452,1475,0.651977583,0.174978833,0.078014756,0.014070879,0.009152119,0.022215055,0.02616619,0.020763617,0.002660968,0,0,0,0,0.086609442,0.45379113,0.039427754,0.03565093,0.191874106,0.084234621,0.02,0.004949928,0.036537911,0.007153076,0.006752504,0.00323319,0.002088698,0.001201717,0.003090129,0.001573677,0.000143062,0.001545064,0.003576538,0.000686695,0.012589413,0.001258941,8.58E-05,0.000200286,0.000543634,5.72E-05,0.000286123,0.00037196,0.000314735,0,5.72E-05,0,0,0,0,0.000114449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.48,54.1,31.2,1.51,2.86,4.39,14.13,1.08,0.96,23.46,11.68,23.87,22.23,1.83,4.39,4.62,1.46,2.02,0,0.92,0.02,0.04,0,0,0.31,0,0.01,0,0.01,0,0,0,0.68,0,0.68,0,0,0,0,0,27.15,0.09,0,0,0,5.37,0.09,0,0,0,0.03,0,0,0.45,49.23,0.43,0,0,0,0,0,0,1.32,0,1.32,0,2.4,0,0.1,0.23,0.1,0.11,0.16,0.02,1.49,0.02,0,1.33,0,0.15,0.07,0.07,0.07,0.07,0.07,0.14,0,0.07,0.14,0,0.14,0,50.58,1.35
O4NC,24_R,1,HIDED,HIDED,6.446106579,0.454,12.38,14.2,5206.87,29.8,75.2,27.66666667,66.66666667,5.766666667,92.2,276,10,29,1000,217259.874,14.7862069,104.0469174,11.77142857,24,5,246,1903,0.551022054,0.33233883,0.092851671,0.00544289,0.00983752,0.006047656,0.000685401,0.001491755,0.000282224,0,0,0,0,0.255865187,0.3006981,0.145284962,0.064402609,0.062457084,0.027466239,0.015707256,0.013160906,0.002889677,0.011415656,0.009641794,0.018568322,0.002660792,0.038681621,0.007495995,0.002231632,0.002117189,0.001173037,0.002117189,8.58E-05,0.001344701,0.006609064,0.001888304,0.001745251,0.000772488,2.86E-05,8.58E-05,0.002460517,8.58E-05,0.000343328,0.000314717,0,0.000200275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.99,35.15,11.55,0.84,2.06,4.59,13.75,13.54,0.8,16.9,1.62,4.04,13.06,0.1,0.74,2.27,0.79,0.35,0.1,0.98,1.08,0.1,0.3,0,0.06,0,0,0,0,0,0,0,0.96,0,0.96,0,0,0,0,0,8.48,0.22,0,0,0,1.27,0.06,0,0,0,0.02,0,0,0.09,25.67,0,0,0,0,0,0,0,0.21,0,0.21,0,3.02,0,0,0.05,0,0,0.6,0,0.59,0,0,0.79,0,0.2,3.54,3.54,0,0,3.54,3.54,0,0,3.54,0,0.12,0,29.22,3.55
O4ND,24_R,1,HIDED,HIDED,6.227888627,0.409,5.54,15.23,11241.68,29.1,73.8,27.33333333,80.33333333,5.3,92.2,276,10,29,1000,217259.874,14.7862069,104.0469174,11.77142857,24,5,191,2060,0.433052453,0.378260694,0.122686772,0.011611499,0.032092892,0.009595613,0.01245817,0,0.000241906,0,0,0,0,0.282358663,0.217898833,0.118018997,0.11169604,0.055018311,0.052786679,0.034046693,0.009784848,0.002317464,0.012703136,0.020027466,0.001802472,0.022430762,0.01888304,0.006265736,0.002975509,0.002660792,0.003633555,0.001602197,0.010271229,0.001516365,0.001888304,0.000972763,0.000801099,0.002346075,0.002374685,0.001373312,0.000514992,5.72E-05,0.000457771,0.000114443,0,0.000314717,0,8.58E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.36,55.74,35.65,2.26,2.5,5.72,20.88,2.26,2.32,5.67,16.33,1.81,0.24,0.17,1.25,5.47,0.37,0.16,24.67,3.21,0,0,0.08,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,5.58,0.01,0.05,0.05,0.05,1.07,0.06,0,0.05,0.05,0,0,0,0.29,17.89,0,0,0.01,0.05,0,0,0,0.13,0,0.13,0,1.01,0.01,0,0,0,0,0.14,0.12,0.69,0.12,0.01,0.31,0,0.23,1.67,1.67,0,0,1.67,1.67,0,0,1.67,0,0.05,0,26.55,8.65
R1SA,24_R,0,HIDED,HIDED,6.570620988,0.412,13.58,15.95,4838.45,28,82.2,25.66666667,43,6.233333333,92.46,517,19,63,5200,303670.4589,13.08953846,191.4267477,19.43833333,63,2,NA,1952,,,,,,,,,,,,,,0.164406683,0.381021856,0.056757066,0.061534501,0.145296945,0.029351184,0.031553954,0.038534157,0.008582218,0.035473166,0.009297402,0,0.003518709,0.001258725,0.00120151,0.014446733,0.005893123,0.000972651,0.003861998,0.000629363,0.000600755,5.72E-05,0.000486326,0.001716444,0.001916695,0.000886829,0.000200252,0,0.000143037,0.000171644,0.00011443,0,0,5.72E-05,0,2.86E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86E-05,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.93,0,0.93,0,0,0,0,0,11.35,0,0,0,0,2.73,0.18,0,0,0,0.02,0,0,0.45,36.61,0.06,0,0,0,0,0,0,0.18,0,0.18,0,1.9,0,0,0.01,0,0,0.01,0.05,0.8,0.05,0.01,0.19,0,0.02,0.09,0.09,0,0,0.09,0.09,0,0.01,0.1,0,0.48,0,38.45,1.84
R1SB,24_R,0,HIDED,HIDED,6.633011734,0.415,13.71,15.98,4838.08,28,86.5,26,62.33333333,6,92.46,499,19,63,5200,303670.4589,13.08953846,191.4267477,19.43833333,63,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R1SC,24_R,0,HIDED,HIDED,5.59149591,0.311,9.64,17.98,5800.31,29,82.9,26,54,5.966666667,92.46,499,19,63,5200,303670.4589,13.08953846,191.4267477,19.43833333,63,2,223,1990,0.171793735,0.787686973,0.022779502,0.011853405,0,0.000120953,0.005523525,0.000241906,0,0,0,0,0,0.324665294,0.281668383,0.142865316,0.086365717,0.043740703,0.030867376,0.019596064,0.005177938,0.002803524,0.008381966,0.012816112,0.004949079,0.010498913,0.001344547,0.00526376,0.001087081,0.001630621,0.001945303,0.000829614,0.005063508,0.001230118,0,0.00131594,0.000343289,0.003175421,0.000743792,0.000686577,0.000429111,0.000257467,0.000171644,8.58E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.14,17.4,83.4,0.02,1.29,76.04,8.39,0.08,0,7.56,2.95,6.21,6.42,0.05,0.6,1.52,0.17,0.29,0.05,0,0,0.42,0,0,0.03,0,0,0,0,0,0,0,1.28,0,1.28,0,0,0,0,0,10.44,0.01,0,0,0,1.04,0.11,0,0,0,0,0,0,0.07,23.38,0.07,0,0,0,0,0,0,0.24,0,0.24,0,1.92,0,0,0.01,0,0,0.07,0.01,0.31,0.01,0,0.26,0,0.05,0,0,0,0,0,0,0,0,0,0,0.13,0,29.45,6.08
R1SD,24_R,0,HIDED,HIDED,5.631173048,0.285,10.53,19.76,5347.74,29,83.9,26,55.33333333,5.833333333,92.46,499,19,63,5200,303670.4589,13.08953846,191.4267477,19.43833333,63,2,533,2327,0.603354433,0.341007136,0.02669032,0.007942588,0.006047656,0.003749546,0.004072088,0.00701528,0.000120953,0,0,0,0,0.208011445,0.352131617,0.145951359,0.108755365,0.074248927,0.028612303,0.018283262,0.013104435,0.006752504,0.005550787,0.011416309,0.001745351,0.004577969,0.002346209,0.00509299,0.000143062,0.002775393,0.002060086,0.00248927,0.001201717,0.000314735,0,0.000314735,0.000171674,0.001573677,0.001258941,0.000200286,0.000143062,0,0.000228898,5.72E-05,0,8.58E-05,0,0,0,8.58E-05,0.000228898,0,0,0,0,0,8.58E-05,0,0,0,0,0,0,0,41.56,61.98,22.92,8.87,9.68,16.15,37.7,8.79,8.77,13.45,25.87,4.14,5.26,1.03,0.64,1.17,0.82,0.18,0.42,0.6,0.35,0.06,0.87,0,0.17,0,0.04,0,0.04,0,0,0,1.14,0,1.14,0,0,0,0,0.03,11.64,0.03,0,0,0,1.78,0.09,0,0,0,0.01,0,0,0.23,34.11,0.11,0,0.06,0,0,0,0,0.4,0,0.4,0,3.45,0,0,0.16,0,0.04,0.12,0.06,1.19,0.06,0,0.24,0,0.09,0.13,0.13,0.01,0.01,0.13,0.13,0,0,0.13,0,0.23,0,37.59,3.48
R2NA,24_R,1,HIDED,HIDED,7.775339354,0.623,37.92,12.48,2050.46,26.9,91.6,26.66666667,32.66666667,6.7,92.46,457,16,41,2800,93121.8105,9.848780488,31.09435243,7.35,38,3,460,2943,0.575252994,0.159779059,0.152521872,0.025077612,0.071684877,0,0.013748337,0.001451437,0.000403177,0,0,0,8.06E-05,0.198327702,0.306740736,0.103487773,0.110073879,0.038514404,0.025685814,0.03991753,0.077229254,0.001231316,0.025342191,0.005812955,0,0.009965065,0.002319455,0.003321688,0.001345856,0.005669778,0.005870225,0.006729282,0.003407594,0.000744516,0.006471565,0.002233549,0.000887693,0.004925262,0.003923028,0.002004467,0,0.000400893,0.001374492,0.000801787,0,0.000286352,0.00174675,0.000372258,0.000744516,8.59E-05,0.000629975,0.000744516,0.000229082,0,0.000257717,0,0,0.000143176,0,0,0,0,0,0,16.56,50.09,21.09,0.58,1.59,1.81,9.2,0.53,0.53,3.65,8.66,6.58,6.27,1.16,2.13,1.76,0.29,0.48,1.58,7.17,0.75,0,0.65,0,0.48,0,0,0,0,0.03,0,0.03,0.58,0,0.58,0.01,0.01,0.01,0.01,0,5.86,0,0,0.02,0.03,0.05,0.01,0,0,0,0.02,0,0,0.58,20.2,0,0,0,0,0,0.02,0.02,0.06,0.02,0.06,0.02,0.26,0,0,0.02,0,0,0,0.19,1.28,0.2,0.02,0.23,0,0.03,0.01,0.01,0,0,0.01,0.01,0,0,0.01,0,0.02,0,29.81,9.61
